lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
166.2,166.3,-46.1,-46.0,0.0,40.0,5.0,10.5,3.2844690483464220e-04,0.000000,1
166.2,166.3,-46.0,-45.9,0.0,40.0,5.0,10.5,3.1073183853889621e-04,0.000000,1
166.2,166.3,-45.9,-45.8,0.0,40.0,5.0,10.5,2.6630053712686297e-04,0.000000,1
166.2,166.3,-45.8,-45.7,0.0,40.0,5.0,10.5,2.6744962250820872e-04,0.000000,1
166.2,166.3,-45.7,-45.6,0.0,40.0,5.0,10.5,3.0680579681929842e-04,0.000000,1
166.2,166.3,-45.6,-45.5,0.0,40.0,5.0,10.5,3.7134609240488116e-04,0.000000,1
166.2,166.3,-45.5,-45.4,0.0,40.0,5.0,10.5,3.9202962926910358e-04,0.000000,1
166.2,166.3,-45.4,-45.3,0.0,40.0,5.0,10.5,3.6885640741196553e-04,0.000000,1
166.2,166.3,-45.3,-45.2,0.0,40.0,5.0,10.5,3.9480658560735562e-04,0.000000,1
166.2,166.3,-45.2,-45.1,0.0,40.0,5.0,10.5,3.8264543198811383e-04,0.000000,1
166.3,166.4,-46.9,-46.8,0.0,40.0,5.0,10.5,1.1069522506963453e-04,0.000000,1
166.3,166.4,-46.8,-46.7,0.0,40.0,5.0,10.5,1.2448424964578276e-04,0.000000,1
166.3,166.4,-46.7,-46.6,0.0,40.0,5.0,10.5,1.4066720209973452e-04,0.000000,1
166.3,166.4,-46.6,-46.5,0.0,40.0,5.0,10.5,1.5972286800705049e-04,0.000000,1
166.3,166.4,-46.5,-46.4,0.0,40.0,5.0,10.5,1.8145973313750643e-04,0.000000,1
166.3,166.4,-46.4,-46.3,0.0,40.0,5.0,10.5,2.0089842750527096e-04,0.000000,1
166.3,166.4,-46.3,-46.2,0.0,40.0,5.0,10.5,2.2311407821128758e-04,0.000000,1
166.3,166.4,-46.2,-46.1,0.0,40.0,5.0,10.5,2.4676608564398625e-04,0.000000,1
166.3,166.4,-46.1,-46.0,0.0,40.0,5.0,10.5,2.7242899249403993e-04,0.000000,1
