lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
166.2,166.3,-46.1,-46.0,0.0,40.0,5.0,10.5,3.1957832945877178e-04,0.000000,1
166.2,166.3,-46.0,-45.9,0.0,40.0,5.0,10.5,3.2415068303093687e-04,0.000000,1
166.2,166.3,-45.9,-45.8,0.0,40.0,5.0,10.5,3.0693139404640025e-04,0.000000,1
166.2,166.3,-45.8,-45.7,0.0,40.0,5.0,10.5,3.4059169906701972e-04,0.000000,1
166.2,166.3,-45.7,-45.6,0.0,40.0,5.0,10.5,4.1229009444331043e-04,0.000000,1
166.2,166.3,-45.6,-45.5,0.0,40.0,5.0,10.5,5.0062407409279740e-04,0.000000,1
166.2,166.3,-45.5,-45.4,0.0,40.0,5.0,10.5,5.1687052189176678e-04,0.000000,1
166.2,166.3,-45.4,-45.3,0.0,40.0,5.0,10.5,4.8408577393815763e-04,0.000000,1
166.2,166.3,-45.3,-45.2,0.0,40.0,5.0,10.5,5.1978904544846801e-04,0.000000,1
166.2,166.3,-45.2,-45.1,0.0,40.0,5.0,10.5,5.1463298716496273e-04,0.000000,1
166.3,166.4,-46.9,-46.8,0.0,40.0,5.0,10.5,1.0574783687113694e-04,0.000000,1
166.3,166.4,-46.8,-46.7,0.0,40.0,5.0,10.5,1.1810291992783831e-04,0.000000,1
166.3,166.4,-46.7,-46.6,0.0,40.0,5.0,10.5,1.3123627593299332e-04,0.000000,1
166.3,166.4,-46.6,-46.5,0.0,40.0,5.0,10.5,1.4300765427835446e-04,0.000000,1
166.3,166.4,-46.5,-46.4,0.0,40.0,5.0,10.5,1.8036475580412870e-04,0.000000,1
166.3,166.4,-46.4,-46.3,0.0,40.0,5.0,10.5,1.8824476940722167e-04,0.000000,1
166.3,166.4,-46.3,-46.2,0.0,40.0,5.0,10.5,2.0497763779897473e-04,0.000000,1
166.3,166.4,-46.2,-46.1,0.0,40.0,5.0,10.5,2.3027150862371771e-04,0.000000,1
166.3,166.4,-46.1,-46.0,0.0,40.0,5.0,10.5,2.6519650718557440e-04,0.000000,1
166.3,166.4,-46.0,-45.9,0.0,40.0,5.0,10.5,2.8718271797938940e-04,0.000000,1
166.3,166.4,-45.9,-45.8,0.0,40.0,5.0,10.5,3.0518027991237957e-04,0.000000,1
166.3,166.4,-45.8,-45.7,0.0,40.0,5.0,10.5,3.4399664321650437e-04,0.000000,1
166.3,166.4,-45.7,-45.6,0.0,40.0,5.0,10.5,3.9604364664434083e-04,0.000000,1
166.3,166.4,-45.6,-45.5,0.0,40.0,5.0,10.5,4.8846355927320941e-04,0.000000,1
