lon_min, lon_max, lat_min, lat_max, depth_min, depth_max, m_min, m_max, rate, dispersion, mask
166.2,166.3,-46.1,-46.0,0.0,40.0,5.0,10.5,3.2910072113487689e-04,0.000000,1
166.2,166.3,-46.0,-45.9,0.0,40.0,5.0,10.5,3.1135039069465757e-04,0.000000,1
166.2,166.3,-45.9,-45.8,0.0,40.0,5.0,10.5,2.6683064299594535e-04,0.000000,1
166.2,166.3,-45.8,-45.7,0.0,40.0,5.0,10.5,2.6798201578125694e-04,0.000000,1
166.2,166.3,-45.7,-45.6,0.0,40.0,5.0,10.5,3.0741653367817649e-04,0.000000,1
166.2,166.3,-45.6,-45.5,0.0,40.0,5.0,10.5,3.7208530511984039e-04,0.000000,1
166.2,166.3,-45.5,-45.4,0.0,40.0,5.0,10.5,3.9281001525544784e-04,0.000000,1
166.2,166.3,-45.4,-45.3,0.0,40.0,5.0,10.5,3.6959066408499873e-04,0.000000,1
166.2,166.3,-45.3,-45.2,0.0,40.0,5.0,10.5,3.9559249948661727e-04,0.000000,1
166.2,166.3,-45.2,-45.1,0.0,40.0,5.0,10.5,3.8340713750873703e-04,0.000000,1
166.3,166.4,-46.9,-46.8,0.0,40.0,5.0,10.5,1.1091557831834336e-04,0.000000,1
166.3,166.4,-46.8,-46.7,0.0,40.0,5.0,10.5,1.2473205174208160e-04,0.000000,1
166.3,166.4,-46.7,-46.6,0.0,40.0,5.0,10.5,1.4094721846855221e-04,0.000000,1
166.3,166.4,-46.6,-46.5,0.0,40.0,5.0,10.5,1.6004081715830166e-04,0.000000,1
166.3,166.4,-46.5,-46.4,0.0,40.0,5.0,10.5,1.8182095234711132e-04,0.000000,1
166.3,166.4,-46.4,-46.3,0.0,40.0,5.0,10.5,2.0129834196529789e-04,0.000000,1
166.3,166.4,-46.3,-46.2,0.0,40.0,5.0,10.5,2.2355821581465399e-04,0.000000,1
166.3,166.4,-46.2,-46.1,0.0,40.0,5.0,10.5,2.4725730564564944e-04,0.000000,1
166.3,166.4,-46.1,-46.0,0.0,40.0,5.0,10.5,2.7297129785094009e-04,0.000000,1
166.3,166.4,-46.0,-45.9,0.0,40.0,5.0,10.5,2.8083901188390224e-04,0.000000,1
166.3,166.4,-45.9,-45.8,0.0,40.0,5.0,10.5,2.6942123176289630e-04,0.000000,1
166.3,166.4,-45.8,-45.7,0.0,40.0,5.0,10.5,2.8170254147288584e-04,0.000000,1
166.3,166.4,-45.7,-45.6,0.0,40.0,5.0,10.5,3.1633967276434083e-04,0.000000,1
166.3,166.4,-45.6,-45.5,0.0,40.0,5.0,10.5,3.9693576773614745e-04,0.000000,1
166.3,166.4,-45.5,-45.4,0.0,40.0,5.0,10.5,4.6438702340898083e-04,0.000000,1
166.3,166.4,-45.4,-45.3,0.0,40.0,5.0,10.5,4.7580480352998672e-04,0.000000,1
166.3,166.4,-45.3,-45.2,0.0,40.0,5.0,10.5,4.9988768428941936e-04,0.000000,1
166.3,166.4,-45.2,-45.1,0.0,40.0,5.0,10.5,4.4615695430821504e-04,0.000000,1
166.3,166.4,-45.1,-45.0,0.0,40.0,5.0,10.5,3.5184033364477947e-04,0.000000,1
166.4,166.5,-47.0,-46.9,0.0,40.0,5.0,10.5,9.0084720323093125e-05,1.068585,1
166.4,166.5,-46.9,-46.8,0.0,40.0,5.0,10.5,9.6907209430386484e-05,0.000000,1
166.4,166.5,-46.8,-46.7,0.0,40.0,5.0,10.5,1.0842093728350170e-04,0.000000,1
166.4,166.5,-46.7,-46.6,0.0,40.0,5.0,10.5,1.2809022236590689e-04,0.000000,1
166.4,166.5,-46.6,-46.5,0.0,40.0,5.0,10.5,1.6272735365736188e-04,0.000000,1
166.4,166.5,-46.5,-46.4,0.0,40.0,5.0,10.5,1.7107480635087044e-04,0.000000,1
166.4,166.5,-46.4,-46.3,0.0,40.0,5.0,10.5,1.7625598388477226e-04,0.000000,1
166.4,166.5,-46.3,-46.2,0.0,40.0,5.0,10.5,1.9784422360936334e-04,0.000000,1
166.4,166.5,-46.2,-46.1,0.0,40.0,5.0,10.5,2.1521076312114545e-04,0.000000,1
166.4,166.5,-46.1,-46.0,0.0,40.0,5.0,10.5,2.3535978686409714e-04,0.000000,1
166.4,166.5,-46.0,-45.9,0.0,40.0,5.0,10.5,2.5713992205290677e-04,0.000000,1
166.4,166.5,-45.9,-45.8,0.0,40.0,5.0,10.5,2.8755535313155280e-04,0.000000,1
166.4,166.5,-45.8,-45.7,0.0,40.0,5.0,10.5,3.3840765114947835e-04,0.000000,1
166.4,166.5,-45.7,-45.6,0.0,40.0,5.0,10.5,3.5481471334016754e-04,0.000000,1
166.4,166.5,-45.6,-45.5,0.0,40.0,5.0,10.5,4.1823616426441067e-04,0.000000,1
166.4,166.5,-45.5,-45.4,0.0,40.0,5.0,10.5,5.0746755512605358e-04,0.000000,1
166.4,166.5,-45.4,-45.3,0.0,40.0,5.0,10.5,5.8480142720614429e-04,0.000000,1
166.4,166.5,-45.3,-45.2,0.0,40.0,5.0,10.5,6.1224247858940220e-04,0.000000,1
166.4,166.5,-45.2,-45.1,0.0,40.0,5.0,10.5,5.0151879573527753e-04,0.000000,1
166.4,166.5,-45.1,-45.0,0.0,40.0,5.0,10.5,3.8714909906099952e-04,0.000000,1
166.4,166.5,-45.0,-44.9,0.0,40.0,5.0,10.5,3.0242725160849334e-04,0.000000,1
166.5,166.6,-47.1,-47.0,0.0,40.0,5.0,10.5,8.6393674257516313e-05,1.068585,1
166.5,166.6,-47.0,-46.9,0.0,40.0,5.0,10.5,8.6555523312115376e-05,1.068585,1
166.5,166.6,-46.9,-46.8,0.0,40.0,5.0,10.5,9.0084720323093125e-05,1.068585,1
166.5,166.6,-46.8,-46.7,0.0,40.0,5.0,10.5,9.3683365631514219e-05,0.000000,1
166.5,166.6,-46.7,-46.6,0.0,40.0,5.0,10.5,1.1993466513661696e-04,0.000000,1
166.5,166.6,-46.6,-46.5,0.0,40.0,5.0,10.5,1.8978461411218265e-04,0.000000,1
166.5,166.6,-46.5,-46.4,0.0,40.0,5.0,10.5,1.7308970872516557e-04,0.000000,1
166.5,166.6,-46.4,-46.3,0.0,40.0,5.0,10.5,1.5773807158767862e-04,0.000000,1
166.5,166.6,-46.3,-46.2,0.0,40.0,5.0,10.5,1.7174644047563545e-04,0.000000,1
166.5,166.6,-46.2,-46.1,0.0,40.0,5.0,10.5,1.9026435277272910e-04,0.000000,1
166.5,166.6,-46.1,-46.0,0.0,40.0,5.0,10.5,2.0868631733771348e-04,0.000000,1
166.5,166.6,-46.0,-45.9,0.0,40.0,5.0,10.5,2.3699089830995509e-04,0.000000,1
166.5,166.6,-45.9,-45.8,0.0,40.0,5.0,10.5,3.2574255051105169e-04,0.000000,1
166.5,166.6,-45.8,-45.7,0.0,40.0,5.0,10.5,4.7810754910060984e-04,0.000000,1
166.5,166.6,-45.7,-45.6,0.0,40.0,5.0,10.5,4.3118910809916526e-04,0.000000,1
166.5,166.6,-45.6,-45.5,0.0,40.0,5.0,10.5,4.5354492968063061e-04,0.000000,1
166.5,166.6,-45.5,-45.4,0.0,40.0,5.0,10.5,5.5486573478804463e-04,0.000000,1
166.5,166.6,-45.4,-45.3,0.0,40.0,5.0,10.5,7.2095125906923184e-04,0.000000,1
166.5,166.6,-45.3,-45.2,0.0,40.0,5.0,10.5,8.1641925251797894e-04,0.000000,1
166.5,166.6,-45.2,-45.1,0.0,40.0,5.0,10.5,6.7825451828059616e-04,0.000000,1
166.5,166.6,-45.1,-45.0,0.0,40.0,5.0,10.5,4.6505865753374584e-04,0.000000,1
166.5,166.6,-45.0,-44.9,0.0,40.0,5.0,10.5,3.4339693321916166e-04,0.000000,1
166.5,166.6,-44.9,-44.8,0.0,40.0,5.0,10.5,2.6826985897758482e-04,0.000000,1
166.6,166.7,-47.2,-47.1,0.0,40.0,5.0,10.5,8.6231562032740872e-05,1.068585,1
166.6,166.7,-47.1,-47.0,0.0,40.0,5.0,10.5,8.6393674257516313e-05,1.068585,1
166.6,166.7,-47.0,-46.9,0.0,40.0,5.0,10.5,8.6555523312115376e-05,1.068585,1
166.6,166.7,-46.9,-46.8,0.0,40.0,5.0,10.5,8.6717108703623797e-05,1.068585,1
166.6,166.7,-46.8,-46.7,0.0,40.0,5.0,10.5,8.6878429939825201e-05,1.068585,1
166.6,166.7,-46.7,-46.6,0.0,40.0,5.0,10.5,1.0295191655327198e-04,0.000000,1
166.6,166.7,-46.6,-46.5,0.0,40.0,5.0,10.5,1.5236499858955818e-04,0.000000,1
166.6,166.7,-46.5,-46.4,0.0,40.0,5.0,10.5,1.5226905085744888e-04,0.000000,1
